SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2022-01-01,1,21940,23275,20513,2713,6527,0,14008,0,450,-181,-4,586,320,384,-100,210,0,0,0,2022-01-01 00:00:00
2022-01-01,3,21896,23672,20619,2930,6527,0,14008,0,799,-164,-4,567,320,440,-4,-205,0,0,0,2022-01-01 01:00:00
2022-01-01,5,19481,23958,18545,3161,6527,0,14008,0,1490,-753,-4,-383,320,476,-561,-686,0,0,0,2022-01-01 02:00:00
2022-01-01,7,18081,23722,17194,3441,6527,0,14008,0,1597,-1014,-4,-791,249,457,-917,-718,0,0,0,2022-01-01 03:00:00
2022-01-01,9,17094,23015,16267,3647,6527,0,14008,0,1582,-1022,-4,-1012,157,464,-985,-716,0,0,0,2022-01-01 04:00:00
2022-01-01,11,16519,22441,15802,3722,6527,0,14008,0,1558,-1022,-4,-1014,82,226,-1008,-716,0,0,0,2022-01-01 05:00:00
2022-01-01,13,16911,22805,16193,3863,6527,0,14008,0,1475,-1022,-4,-1014,203,-54,-1009,-716,0,0,0,2022-01-01 06:00:00
2022-01-01,15,17813,23395,17112,3996,6527,0,14008,0,1074,-1022,-4,-1014,155,-111,-1021,-736,0,0,0,2022-01-01 07:00:00
2022-01-01,17,18638,23620,17909,4135,6527,0,14008,0,582,-1022,-4,-1015,141,44,-1021,-738,0,0,0,2022-01-01 08:00:00
2022-01-01,19,20003,24100,19140,4260,6527,460,14008,0,59,-1022,-4,-1014,94,67,-660,-738,0,0,0,2022-01-01 09:00:00
2022-01-01,21,21481,24833,20441,4344,6527,1165,14008,0,19,-1023,-4,-917,-51,27,197,-738,0,0,0,2022-01-01 10:00:00
2022-01-01,23,23097,25298,21891,4374,6527,1566,14008,0,8,-747,-4,314,-52,-52,567,-738,0,0,0,2022-01-01 11:00:00
2022-01-01,25,24496,26608,23098,4311,6527,1460,14008,0,7,-553,-4,-213,-70,-11,542,-654,0,0,0,2022-01-01 12:00:00
2022-01-01,27,25465,26745,24058,4195,6527,1150,14008,0,8,-71,-4,-382,82,30,980,-215,0,0,0,2022-01-01 13:00:00
2022-01-01,29,25586,26629,24187,4071,6527,891,14008,0,7,-197,-4,-145,104,0,999,-90,0,0,0,2022-01-01 14:00:00
2022-01-01,31,26492,27327,24964,3982,6527,215,14008,0,12,-219,-4,141,148,0,985,171,0,0,0,2022-01-01 15:00:00
2022-01-01,33,28745,29448,26972,3912,6527,0,14008,0,2,239,-4,-97,124,16,871,604,0,0,0,2022-01-01 16:00:00
