SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2024-01-01,1,21783,23466,19539,2804,6488,0,16793,0,808,-71,417,-4,666,-179,-92,905,62,998,572,0,2024-01-01 00:00:00
2024-01-01,3,22194,24754,20070,2868,6488,0,16793,0,1441,466,834,-4,661,-118,-1,807,-396,997,422,0,2024-01-01 01:00:00
2024-01-01,5,20619,23977,18674,2933,6488,0,16793,0,1454,595,53,-5,661,-340,-103,537,-856,998,28,0,2024-01-01 02:00:00
2024-01-01,7,19345,23815,17561,2987,6488,0,16793,0,1530,988,361,-5,546,-340,-326,414,-1328,995,-341,0,2024-01-01 03:00:00
2024-01-01,9,18365,23164,16612,3000,6488,0,16793,0,1526,1087,225,-5,271,-340,-452,596,-1444,994,-432,0,2024-01-01 04:00:00
2024-01-01,11,18079,22998,16430,2929,6488,0,16793,0,1491,1290,1057,-5,293,-340,-528,584,-1452,113,-503,0,2024-01-01 05:00:00
2024-01-01,13,18847,23724,17203,2769,6488,0,16793,0,1464,1280,1404,-5,129,-340,-529,796,-1453,169,-486,0,2024-01-01 06:00:00
2024-01-01,15,19917,24451,18213,2603,6488,0,16793,0,1035,1619,1602,-4,103,-340,-529,691,-1453,394,-573,0,2024-01-01 07:00:00
2024-01-01,17,21582,24982,19824,2448,6488,0,16793,0,407,1145,1892,-4,151,-450,-529,988,-1218,686,-192,0,2024-01-01 08:00:00
2024-01-01,19,23168,25578,21239,2248,6488,741,16793,0,58,1257,1995,-4,417,-450,-529,999,-769,525,449,0,2024-01-01 09:00:00
2024-01-01,21,24471,26631,22359,2030,6488,2280,16793,0,330,929,1999,-4,975,-388,-530,999,-308,969,761,0,2024-01-01 10:00:00
2024-01-01,23,25947,27435,23632,1844,6488,2892,16793,0,17,634,2000,-4,1003,-337,-530,999,33,998,780,0,2024-01-01 11:00:00
2024-01-01,25,27852,29324,25408,1643,6488,2172,16793,0,13,897,2001,-4,1003,-325,-530,999,469,998,780,0,2024-01-01 12:00:00
2024-01-01,27,29377,30790,26831,1408,6488,1532,16793,0,7,541,2001,-4,1003,-271,-531,999,919,998,780,0,2024-01-01 13:00:00
2024-01-01,29,30374,31735,27668,1242,6488,545,16793,0,8,216,2000,-4,1003,-235,-514,999,1353,998,780,0,2024-01-01 14:00:00
2024-01-01,31,31758,32988,28907,1231,6488,41,16793,0,11,300,2001,-4,1003,-235,-380,999,1399,998,780,0,2024-01-01 15:00:00
2024-01-01,33,33787,34542,30682,1365,6488,0,16793,0,5,466,2000,-4,544,-64,-82,1018,1399,998,780,0,2024-01-01 16:00:00
2024-01-01,35,34845,35637,31786,1590,6488,0,16793,0,4,900,2000,-4,950,-184,0,1019,1399,998,780,0,2024-01-01 17:00:00
2024-01-01,37,33608,34319,30891,1924,6488,0,16793,0,5,1512,2000,-4,530,-102,25,1019,1399,997,780,0,2024-01-01 18:00:00
2024-01-01,39,31674,32416,29302,2338,6488,0,16793,0,11,2355,1999,-4,697,-118,-9,1019,995,997,780,0,2024-01-01 19:00:00
2024-01-01,41,28786,29550,26661,2764,6488,0,16793,0,11,3450,1999,-4,569,-149,0,1019,545,997,251,0,2024-01-01 20:00:00
2024-01-01,43,26182,27632,24362,3126,6488,0,16793,0,283,4545,1921,-4,-415,-148,0,948,96,997,5,0,2024-01-01 21:00:00
2024-01-01,45,23495,25494,22053,3384,6488,0,16793,0,219,4980,1244,-4,112,-67,-4,589,-358,864,-747,0,2024-01-01 22:00:00
2024-01-01,47,20807,25128,19640,3668,6488,0,16793,0,740,5284,1090,-4,-532,-206,-64,-617,-820,822,-738,0,2024-01-01 23:00:00
2024-01-02,1,20056,24530,18924,3781,6488,0,16794,0,977,4651,316,-4,-628,-322,-166,137,-1292,913,-485,0,2024-01-02 00:00:00
2024-01-02,3,20055,25169,19000,3630,6488,0,16794,0,699,4718,490,-4,-732,-330,-144,-397,-1440,994,-768,0,2024-01-02 01:00:00
2024-01-02,5,19219,24634,18219,3420,6488,0,16794,0,1212,4158,799,-4,-580,-328,-446,79,-1451,923,-794,0,2024-01-02 02:00:00
2024-01-02,7,18649,23793,17505,3110,6488,0,16794,0,919,3252,892,-4,-550,-330,-495,96,-1452,918,-794,0,2024-01-02 03:00:00
2024-01-02,9,18450,23893,17226,2753,6488,0,16794,0,1189,3374,722,-5,-512,-330,-530,-31,-1452,994,-794,0,2024-01-02 04:00:00
2024-01-02,11,18986,23529,17625,2438,6488,0,16794,0,1178,3250,802,-5,-547,-330,-530,15,-1027,791,-326,0,2024-01-02 05:00:00
2024-01-02,13,21950,25351,20389,2185,6488,0,16794,0,405,3469,1552,-4,-837,-330,-530,0,-560,985,-135,0,2024-01-02 06:00:00
2024-01-02,15,26131,28582,24449,2012,6488,0,16794,0,21,3525,1959,-4,-762,-431,-530,580,-103,998,261,0,2024-01-02 07:00:00
2024-01-02,17,29817,31589,28033,1877,6488,0,16794,0,188,3745,2001,-4,399,-450,-530,928,349,998,744,0,2024-01-02 08:00:00
2024-01-02,19,33278,34876,31316,1786,6488,14,16794,0,14,3632,2001,-4,481,-450,-530,901,797,998,759,0,2024-01-02 09:00:00
2024-01-02,21,34541,36142,32324,1756,6488,126,16794,0,16,3083,2001,-4,418,-450,-531,967,938,998,749,0,2024-01-02 10:00:00
