SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2026-01-01,1,25107,A,29668,23625,3978,6417,0,22267,0,455,2945,-1143,-610,989,-361,-527,209,677,-352,1021,-513,2026-01-01 00:00:00
2026-01-01,3,25355,A,30681,23805,4081,6417,0,22267,0,546,3061,-1433,-594,844,-361,-524,343,667,-754,994,-514,2026-01-01 01:00:00
2026-01-01,5,24111,A,29092,22653,4171,6417,0,22267,0,834,3089,-1236,-431,949,-361,-531,146,413,-475,990,-513,2026-01-01 02:00:00
2026-01-01,7,22745,A,27909,21334,4219,6417,0,22267,0,1002,3649,-1030,-530,726,-361,-531,82,56,-596,990,-514,2026-01-01 03:00:00
2026-01-01,9,21715,A,27508,20229,4267,6417,0,22267,0,983,4063,-1174,-617,655,-361,-531,167,-126,-887,970,-514,2026-01-01 04:00:00
2026-01-01,11,21099,A,27198,19657,4297,6417,0,22267,0,984,4180,-1032,-687,738,-361,-531,-387,-148,-855,985,-514,2026-01-01 05:00:00
2026-01-01,13,21525,A,27110,20093,4318,6417,0,22267,0,967,4176,-1047,-397,786,-361,-531,-45,-337,-786,976,-514,2026-01-01 06:00:00
2026-01-01,15,22674,A,27214,21229,4230,6417,0,22267,0,686,4344,-484,-406,799,-421,-531,641,-241,-658,985,-513,2026-01-01 07:00:00
2026-01-01,17,24036,A,27423,22496,4125,6417,2,22267,0,951,4390,-125,-30,665,-452,-531,833,-150,-35,986,-513,2026-01-01 08:00:00
2026-01-01,19,25425,A,28493,23709,4035,6417,933,22267,0,952,4078,597,210,599,-452,-531,726,-19,132,989,-514,2026-01-01 09:00:00
2026-01-01,21,26752,A,29799,24864,3976,6417,2380,22267,0,947,4259,970,532,405,-452,-531,739,-4,489,990,-513,2026-01-01 10:00:00
2026-01-01,23,27178,A,30214,25172,4114,6417,3342,22267,0,832,4486,1003,687,3,-452,-531,1005,-107,515,991,-514,2026-01-01 11:00:00
2026-01-01,25,28878,A,31595,26716,4270,6417,3183,22267,0,620,4562,1416,970,306,-452,-531,1016,65,863,992,-514,2026-01-01 12:00:00
2026-01-01,27,29551,A,32281,27378,4478,6417,2338,22267,0,634,4433,1496,982,834,-452,-531,1016,54,806,991,-513,2026-01-01 13:00:00
2026-01-01,29,30357,A,32488,28131,4549,6417,1435,22267,0,34,4256,1482,992,317,-452,-531,981,451,834,992,-514,2026-01-01 14:00:00
2026-01-01,31,31184,A,33295,28959,4518,6417,531,22267,0,14,3752,1502,992,920,-452,-531,996,901,803,991,-514,2026-01-01 15:00:00
2026-01-01,33,33178,A,35279,30580,4517,6417,0,22267,0,5,3159,1504,992,701,-452,-531,986,1350,986,991,-513,2026-01-01 16:00:00
2026-01-01,35,35082,A,37181,32333,4530,6417,0,22267,0,3,3128,1504,992,1009,-452,-531,996,1397,997,991,-513,2026-01-01 17:00:00
2026-01-01,37,34342,A,36442,31848,4395,6417,0,22267,0,3,3385,1504,992,1051,-452,-531,997,1397,998,991,-514,2026-01-01 18:00:00
2026-01-01,39,33088,A,35200,30593,4347,6417,0,22267,0,4,3529,1427,960,1051,-452,-531,988,1397,916,991,-525,2026-01-01 19:00:00
